FechaActualizacion;Departamento;Provincia;Distrito;id_Ubigeo;CentroPoblado;UnidadTerritorial;CodigoIIEEQW;InstitucionEducativa;NivelEducativo;CodigoLocalMinedu;DireccionIIEE;NroUsuarios;ComiteCompra;ModalidadAtencion;id_modalidad
31/03/2023;APURIMAC;ABANCAY;ABANCAY;30101;ABANCAY; APURIMAC;110325;11 SANT GERMA JAUME HILARI BARBAL LA SALLE;INICIAL;540329;AVENIDA HUASCAR S/N;8;APURIMAC 3;RACIONES;2
31/03/2023;AMAZONAS;CHACHAPOYAS;ASUNCION;10102;ASUNCION; AMAZONAS;3604;18010;PRIMARIA;359;ASUNCION;8;AMAZONAS 5;PRODUCTOS;1
31/03/2023;APURIMAC;ABANCAY;CHACOCHE;30102;CHACOCHE; APURIMAC;20606;68;INICIAL;42811;CHACOCHE S/N;2;APURIMAC 3;RACIONES;2
31/03/2023;AMAZONAS;CHACHAPOYAS;CHETO;10104;CHETO; AMAZONAS;3611;18017;PRIMARIA;458;JIRON ALFONSO UGARTE S/N;39;AMAZONAS 5;PRODUCTOS;1
31/03/2023;AMAZONAS;CHACHAPOYAS;CHILIQUIN;10105;CHILIQUIN; AMAZONAS;3614;18020;PRIMARIA;528;CHILIQUIN;5;AMAZONAS 5;PRODUCTOS;1
31/03/2023;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10106;CHUQUIBAMBA; AMAZONAS;3577;7;INICIAL;585;CALLE SAN MARTIN S/N;23;AMAZONAS 5;PRODUCTOS;1
31/03/2023;APURIMAC;ABANCAY;CIRCA;30103;CIRCA; APURIMAC;2368;54016;PRIMARIA;42948;PARQUE PLAZA DE ARMAS;19;APURIMAC 3;RACIONES;2
31/03/2023;APURIMAC;ABANCAY;SAN PEDRO DE CACHORA;30108;SAN PEDRO DE CACHORA; APURIMAC;11461;30 DIVINO NIï¿½O JES;INICIAL;44301;PASAJE LOS ROSALES CACHORA S/N;34;APURIMAC 3;RACIONES;2
31/03/2023;AMAZONAS;CHACHAPOYAS;LA JALCA;10109;LA JALCA; AMAZONAS;3575;4;INICIAL;806;JIRON NUBE AZUL S/N;122;AMAZONAS 5;PRODUCTOS;1
31/03/2023;APURIMAC;ABANCAY;TAMBURCO;30109;TAMBURCO; APURIMAC;60835;54036 SEï¿½OR DE LA EXALTACI;INICIAL;44481;AVENIDA TUPAC AMARU 129;41;APURIMAC 3;RACIONES;2
31/03/2023;AMAZONAS;CHACHAPOYAS;LEVANTO;10111;LEVANTO; AMAZONAS;3637;18052 PADRE BLAS VALERA PEREZ;PRIMARIA;1245;JIRON SANTO DOMINGO S/N;71;AMAZONAS 5;PRODUCTOS;1
31/03/2023;AMAZONAS;CHACHAPOYAS;MAGDALENA;10112;MAGDALENA; AMAZONAS;3453;18055 JESUS EL BUEN PASTOR;PRIMARIA;1293;JIRON PORVENIR S/N;81;AMAZONAS 5;PRODUCTOS;1
31/03/2023;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;10113;TACTA; AMAZONAS;20599;23;INICIAL;1330;TACTA;10;AMAZONAS 5;PRODUCTOS;1
31/03/2023;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;10114;MOLINOPAMPA; AMAZONAS;122597;JOSE OLAYA;SECUNDARIA;1542;AVENIDA JOSE OLAYA 193;105;AMAZONAS 5;PRODUCTOS;1
