YAROWILCA;8
PIURA;10
CARABAYA;10
ZARUMILLA;4
JAUJA;33
TOCACHE;5
LA CONVENCION;14
CONCEPCION;14
PURUS;1
ANGARAES;12
SATIPO;9
CORONEL PORTILLO;7
SULLANA;8
CHUMBIVILCAS;8
PARINACOCHAS;8
CANAS;7
CANCHIS;8
DATEM DEL MARA???;6
ILO;3
EL COLLAO;5
TARATA;8
PALPA;5
HUAYLAS;10
SANDIA;10
SANTA CRUZ;11
LIMA;29
ASCOPE;8
ESPINAR;8
CHUPACA;7
CASTILLA;14
CAYLLOMA;20
CALLAO;6
CAJABAMBA;4
JORGE BASADRE;3
HUAROCHIRI;32
PICOTA;10
MARISCAL LUZURIAGA;8
LA MAR;14
TAYACAJA;22
SANCHEZ CARRION;8
HUARI;10
PAITA;4
HUANCANE;7
AREQUIPA;27
HUAMANGA;16
CUTERVO;15
PALLASCA;9
HUANCA SANCOS;3
HUAYTARA;16
PUTUMAYO;4
AYMARAES;17
LUYA;23
MARA???;5
HUANCABAMBA;8
ATALAYA;4
CHANCHAMAYO;6
SAN MARCOS;7
TAHUAMANU;3
YUNGAY;7
LAURICOCHA;6
CHOTA;18
SANTA;8
ANTONIO RAYMONDI;5
MOHO;3
EL DORADO;5
LAMAS;11
CAJATAMBO;5
HUARAL;12
SAN ROMAN;5
PAUCARTAMBO;6
HUALGAYOC;3
PACASMAYO;5
MANU;4
MELGAR;9
VICTOR FAJARDO;12
UTCUBAMBA;6
CHACHAPOYAS;20
SAN MIGUEL;13
ANDAHUAYLAS;17
PAUCAR DEL SARA SARA;10
CANTA;7
GENERAL SANCHEZ CERRO;11
BONGARA;11
ALTO AMAZONAS;6
TALARA;6
SECHURA;6
AZANGARO;14
CASTROVIRREYNA;12
CHUCUITO;6
PARURO;9
OTUZCO;10
BOLIVAR;6
YAUYOS;33
ACOMAYO;7
MARISCAL NIETO;7
MAYNAS;11
SAN ANTONIO DE PUTINA;4
CORONGO;6
LA UNION;10
AIJA;5
GRAN CHIMU;3
SAN PABLO;4
AMBO;8
FERRE???A;5
BELLAVISTA;6
TAMBOPATA;4
BOLOGNESI;15
TACNA;10
PADRE ABAD;6
HUAMALIES;10
CHINCHEROS;12
JULCAN;4
YAULI;9
CONDORCANQUI;3
CANGALLO;6
POMABAMBA;4
SUCRE;11
CALCA;6
LEONCIO PRADO;10
TARMA;8
PASCO;12
ISLAY;6
CA???E;16
PISCO;8
CASMA;3
TRUJILLO;10
MARISCAL CACERES;5
HUACAYBAMBA;4
AYABACA;10
LAMPA;8
REQUENA;10
QUISPICANCHI;11
VILCAS HUAMAN;8
BAGUA;5
COTABAMBAS;6
HUANCAVELICA;19
HUARMEY;5
SAN MARTIN;13
ASUNCION;2
OYON;6
LORETO;5
RIOJA;9
CHEPEN;3
CARLOS FERMIN FITZCARRALD;3
PUERTO INCA;5
LAMBAYEQUE;9
ACOBAMBA;5
MARISCAL RAMON CASTILLA;4
LUCANAS;21
TUMBES;6
SANTIAGO DE CHUCO;8
CHICLAYO;20
ANTABAMBA;7
OXAPAMPA;8
VIRU;3
CUSCO;6
CHINCHA;11
DOS DE MAYO;9
UCAYALI;6
CONDESUYOS;8
SIHUAS;8
CAJAMARCA;10
CARHUAZ;10
CELENDIN;12
CHURCAMPA;11
HUANUCO;12
ABANCAY;9
MOYOBAMBA;6
CARAVELI;13
NASCA;5
HUANCAYO;25
ICA;13
JUNIN;4
RECUAY;10
URUBAMBA;6
DANIEL ALCIDES CARRION;8
GRAU;13
SAN IGNACIO;7
HUALLAGA;6
ANTA;8
CONTRALMIRANTE VILLAR;3
CAMANA;8
YUNGUYO;6
RODRIGUEZ DE MENDOZA;12
HUARAZ;12
HUAURA;11
CONTUMAZA;8
MORROPON;10
OCROS;10
BARRANCA;4
HUANTA;13
CANDARAVE;6
PACHITEA;4
PATAZ;13
PUNO;14
JAEN;10
