AGROHILMART S.A.C.;1
AGROINDUSTRIAL EL TAMBO S.A.;1
AGROINDUSTRIAS NUTRIFORT EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;4
ALIMENTO PROCESADO INSTANTANEO S.A.C.;4
ALIMENTOS ANDINOS DERIVADOS S.R.L.;1
ALIMENTOS NATURALES DEL SUR S.A.C.;4
ALIMENTOS PROCESADOS SA;3
BROT PERU E.I.R.L.;1
CADISEL SOCIEDAD ANONIMA CERRADA - CADISEL SAC.;4
CASH FOODS S.R.L.;3
CASTRO YANGALI EDUARDO MACOTT;4
COMERCIO INDUSTRIA Y SERVICIOS GMV E.I.R.L.;4
CONSORCIO AGROHILMART;3
CONSORCIO AGROLACTHA;4
CONSORCIO AGROMANA;1
CONSORCIO AGUA BLANCA;1
CONSORCIO ALE2;1
CONSORCIO ALEMIR;3
CONSORCIO ALFANA;3
CONSORCIO ALIMENTOS AYACUCHO;4
CONSORCIO ALIMENTOS B Y D;1
CONSORCIO ALIMENTOS BAGUA;1
CONSORCIO ALIMENTOS BYD;3
CONSORCIO ALIMENTOS JOSAD;3
CONSORCIO ALIMENTOS KAYA;4
CONSORCIO ALIMENTOS OROPESA;1
CONSORCIO ALMACENES Y ALIMENTOS DEL NORTE;3
CONSORCIO ALPRONUT;3
CONSORCIO AMAZON MARK;1
CONSORCIO AMAZONAS;4
CONSORCIO AMAZONMARK;3
CONSORCIO AMERICA CASH;3
CONSORCIO AMOJU;3
CONSORCIO ANDINO;4
CONSORCIO ANNY;3
CONSORCIO ANTA;1
CONSORCIO APURIMAC;3
CONSORCIO ARBOL AZUL;1
CONSORCIO ATLANTA;1
CONSORCIO ATLANTA ALIMENTOS;3
CONSORCIO AUCAYACU;1
CONSORCIO AXAS;4
CONSORCIO AZUL;3
CONSORCIO BAND OF BROTHERS;1
CONSORCIO BELLA FLAVIA;1
CONSORCIO CAMPOMAR;1
CONSORCIO CASA BLANCA;4
CONSORCIO CCORESCO 2023;3
CONSORCIO CEDAMP;3
CONSORCIO CENTRAL;4
CONSORCIO CHACHAPOYAS;3
CONSORCIO CHASKA;1
CONSORCIO CHINCHAO;4
CONSORCIO CIBELES;1
CONSORCIO COALPE;3
CONSORCIO COLLCA;4
CONSORCIO COMERCIAL ALIMENTOS CRISTINA;3
CONSORCIO COPSA;3
CONSORCIO CORPADELI;1
CONSORCIO CORPORACION COILA;3
CONSORCIO CORPORACIÓN DE ALIMENTOS NUTRITIVOS;4
CONSORCIO CRISTO REY;4
CONSORCIO CUATRO ESTACIONES;3
CONSORCIO CUPIDO;3
CONSORCIO D&M;3
CONSORCIO DEL NORTE;4
CONSORCIO DEL VALLE;1
CONSORCIO DEL VALLE SUR;3
CONSORCIO DELGADO;4
CONSORCIO DIGRAL;4
CONSORCIO DMK;4
CONSORCIO DOEMS;1
CONSORCIO DON BETO;4
CONSORCIO DORALINN;1
CONSORCIO EL BUEN SAMARITANO;3
CONSORCIO EL SANTUARIO;4
CONSORCIO EL VALLE;3
CONSORCIO ENERGY FOODS;1
CONSORCIO ENERGY FOODS 1;1
CONSORCIO ESPERANZA;1
CONSORCIO ESPERANZA DE ATE;1
CONSORCIO ESTRELLA DEL NORTE 2;3
